date,Apple,Apricot,Artichoke,Avocado,Banana,Beans,Boniato,Broccoli,Cabbage,Carambola,Celery,Chayote,Corn,Cranberries,Cucumber,Garlic,Grapefruit,Greens,Guava,Jicama,Kale,Lettuce,Mangos,Okra,Onion,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Squash,Tomato,Watermelon,Cassava
2016-02-01,0,0,56,0,15,8,0,0,0,5,0,0,0,0,0,0,0,44,35,0,0,0,7,0,0,40,0,0,0,0,0,0,0,0,68,0,3,0
2016-03-01,21,0,0,0,11,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,0,2,0
2016-04-01,10,0,0,31,10,0,0,8,0,2,0,0,0,0,0,46,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,8,2,0
2016-05-01,10,0,0,0,14,7,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2016-06-01,20,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,40,40,0,38,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
2016-07-01,10,0,0,0,15,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,43,0,0,0,0
2016-08-01,0,0,0,0,12,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
2016-09-01,10,0,49,0,20,0,0,0,0,3,0,0,0,0,0,0,39,38,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,8,5,100
2016-10-01,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,49,0,2,43,57,8,0,0
2016-11-01,10,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,60,0,42,0,6,0,0,0,0,0,0,0,0,0,0,44,0,8,2,0
2016-12-01,0,0,0,0,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,0,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,14,0,0,0,0,3,0,0,8,0,0,0,0,0,0,49,0,0,6,0,0,35,0,0,0,0,50,0,2,0,0,0,2,0
2017-02-01,10,0,0,0,8,0,0,0,0,6,0,0,0,0,59,0,0,0,0,39,0,0,0,0,0,37,0,0,0,0,0,0,2,0,0,9,0,0
2017-03-01,9,0,0,0,11,13,0,0,0,2,0,0,0,0,0,41,0,0,28,0,0,0,0,0,0,32,0,0,0,0,45,0,0,0,0,0,0,0
2017-04-01,10,7,0,30,14,7,0,0,0,2,0,0,0,6,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,8,2,0
2017-05-01,0,0,0,0,10,7,0,0,0,5,0,0,0,0,0,0,0,0,29,0,0,56,0,0,0,100,0,0,0,0,48,0,0,0,57,0,0,0
2017-06-01,10,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,52,0,0,0,0,0,0,2,0,0,8,2,0
2017-07-01,10,0,0,0,9,0,0,15,0,4,0,0,7,0,0,44,0,0,30,0,0,0,0,0,0,34,92,0,0,0,0,0,2,0,0,0,0,0
2017-08-01,9,0,0,0,17,6,50,0,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0
